authors,published_parsed,updated_parsed,primary_category,tagged_categories,weights,pages,references
"[u'Leo Speidel', u'Heather A. Harrington', u'S. Jonathan Chapman', u'Mason A. Porter']","time.struct_time(tm_year=2018, tm_mon=4, tm_mday=20, tm_hour=17, tm_min=17, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=4, tm_mday=20, tm_hour=17, tm_min=17, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=0)",cond-mat.stat-mech,"[u'cond-mat.stat-mech', u'cond-mat.dis-nn', u'math.AT', u'nlin.AO', u'physics.data-an']",0.3333333333333333,12,41
"[u'Patrick S. Medina', u'R. W. Doerge']","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=18, tm_hour=16, tm_min=0, tm_sec=5, tm_wday=0, tm_yday=200, tm_isdst=0)","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=18, tm_hour=16, tm_min=0, tm_sec=5, tm_wday=0, tm_yday=200, tm_isdst=0)",stat.AP,"[u'stat.AP', u'stat.OT']",1.0,14,21
"[u'Jennifer Kloke', u'Gunnar Carlsson']","time.struct_time(tm_year=2009, tm_mon=10, tm_mday=30, tm_hour=19, tm_min=8, tm_sec=44, tm_wday=4, tm_yday=303, tm_isdst=0)","time.struct_time(tm_year=2010, tm_mon=2, tm_mday=8, tm_hour=23, tm_min=50, tm_sec=41, tm_wday=0, tm_yday=39, tm_isdst=0)",cs.CG,"[u'cs.CG', u'cs.NA']",1.0,13,14
"[u'Marco Piangerelli', u'Matteo Rucco', u'Emanuela Merelli']","time.struct_time(tm_year=2016, tm_mon=11, tm_mday=12, tm_hour=10, tm_min=11, tm_sec=30, tm_wday=5, tm_yday=317, tm_isdst=0)","time.struct_time(tm_year=2016, tm_mon=11, tm_mday=12, tm_hour=10, tm_min=11, tm_sec=30, tm_wday=5, tm_yday=317, tm_isdst=0)",q-bio.NC,"[u'q-bio.NC', u'cs.IT', u'math.IT', u'I.5.2']",0.5,21,37
"[u'Fr\xe9d\xe9ric Chazal', u'Marc Glisse', u'Catherine Labru\xe8re', u'Bertrand Michel']","time.struct_time(tm_year=2013, tm_mon=5, tm_mday=27, tm_hour=14, tm_min=37, tm_sec=29, tm_wday=0, tm_yday=147, tm_isdst=0)","time.struct_time(tm_year=2013, tm_mon=5, tm_mday=27, tm_hour=14, tm_min=37, tm_sec=29, tm_wday=0, tm_yday=147, tm_isdst=0)",math.ST,"[u'math.ST', u'cs.CG', u'cs.LG', u'math.GT', u'stat.TH']",0.3333333333333333,30,46
[u'Larry Wasserman'],"time.struct_time(tm_year=2016, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=19, tm_sec=27, tm_wday=1, tm_yday=271, tm_isdst=0)","time.struct_time(tm_year=2016, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=19, tm_sec=27, tm_wday=1, tm_yday=271, tm_isdst=0)",stat.ME,[u'stat.ME'],0.0,42,181
"[u'He-Liang Huang', u'Xi-Lin Wang', u'Peter P. Rohde', u'Yi-Han Luo', u'You-Wei Zhao', u'Chang Liu', u'Li Li', u'Nai-Le Liu', u'Chao-Yang Lu', u'Jian-Wei Pan']","time.struct_time(tm_year=2018, tm_mon=1, tm_mday=19, tm_hour=6, tm_min=50, tm_sec=57, tm_wday=4, tm_yday=19, tm_isdst=0)","time.struct_time(tm_year=2018, tm_mon=1, tm_mday=19, tm_hour=6, tm_min=50, tm_sec=57, tm_wday=4, tm_yday=19, tm_isdst=0)",quant-ph,"[u'quant-ph', u'cs.AI']",0.1111111111111111,12,58
"[u'Rodrigo de Souza Couto', u'Stefano Secci', u'Miguel Elias Mitre Campista', u'Lu\xeds Henrique Maciel Kosmalski Costa']","time.struct_time(tm_year=2015, tm_mon=10, tm_mday=9, tm_hour=16, tm_min=45, tm_sec=44, tm_wday=4, tm_yday=282, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=10, tm_mday=14, tm_hour=18, tm_min=8, tm_sec=57, tm_wday=2, tm_yday=287, tm_isdst=0)",cs.NI,[u'cs.NI'],0.3333333333333333,46,34
"[u'Andrew Tausz', u'Gunnar Carlsson']","time.struct_time(tm_year=2011, tm_mon=8, tm_mday=17, tm_hour=18, tm_min=44, tm_sec=38, tm_wday=2, tm_yday=229, tm_isdst=0)","time.struct_time(tm_year=2011, tm_mon=8, tm_mday=17, tm_hour=18, tm_min=44, tm_sec=38, tm_wday=2, tm_yday=229, tm_isdst=0)",cs.CG,[u'cs.CG'],1.0,23,13
"[u'Kelin Xia', u'Guo-Wei Wei']","time.struct_time(tm_year=2014, tm_mon=12, tm_mday=7, tm_hour=16, tm_min=58, tm_sec=33, tm_wday=6, tm_yday=341, tm_isdst=0)","time.struct_time(tm_year=2014, tm_mon=12, tm_mday=7, tm_hour=16, tm_min=58, tm_sec=33, tm_wday=6, tm_yday=341, tm_isdst=0)",q-bio.BM,[u'q-bio.BM'],1.0,34,108
