authors,published_parsed,summary,arxiv_primary_category,weights,pagenum,refnum,category
"[u'Youichi Ohyama', u'Michitoshi Yoshida', u'Tadafumi Takata', u'Masatoshi Imanishi', u'Tomonori Usuda', u'Yoshihiko Saito', u'Hiroko Taguchi', u'Noboru Ebizuka', u'Fumihide Iwamuro', u'Kentaro Motohara', u'Tomoyuki Taguchi', u'Takashi Hata', u'Toshinori Maihara', u'Masanori Iye', u'Toshiyuki Sasaki', u'George Kosugi', u'Ryusuke Ogasawara', u'Junichi Noumaru', u'Yoshihiko Mizumoto', u'Masafumi Yagi', u'Yoshihiro Chikada']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=26, tm_hour=11, tm_min=33, tm_sec=35, tm_wday=2, tm_yday=26, tm_isdst=0)","We have performed a long-slit K band spectroscopic observation of the
luminous infrared galaxy NGC 6240. The peak position of the H_2 v=1-0 S(1)
emission in the slit is located ~0.3"" - 0.4"" north of the southern nucleus. It
is almost the midpoint between the southern nucleus and the peak position of
the ^12CO J=1-0 emission. Based on the line-ratio analyses, we suggest the
excitation mechanism of H_2 is pure thermal at most positions. In the southern
region we find the following three velocity components in the H_2 emission: the
blueshifted shell component (~-250 km s^-1 with respect to V_sys) which is
recognized as a distinct C-shape distortion in the velocity field around the
southern nucleus, the high-velocity blueshifted ``wing'' component (~-1000 km
s^-1 with respect to V_sys), and the component indicating possible line
splitting of ~500 km s^-1. The latter two components are extended to the south
from the southern nucleus. We show that the kinematic properties of these three
components can be reproduced by expanding motion of a shell-like structure
around the southern nucleus. The offset peak position of the H_2 emission can
be understood if we assume that the shell expanding to the north interacts with
the extragalactic molecular gas. At the interface between the shell and the
molecular gas concentration the cloud-crushing mechanism proposed by Cowie et
al. (1981) may work efficiently, and the intense H_2 emission is thus expected
there. All these findings lead us to propose a model that the most H_2 emission
is attributed to the shock excitation driven by the superwind activity of the
southern nucleus.","{'term': u'astro-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.05,35,55,astro-ph
"[u'T. Schneider', u'J. M. Singer']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=19, tm_hour=8, tm_min=28, tm_sec=37, tm_wday=2, tm_yday=19, tm_isdst=0)","We outline the universal and finite temperature critical properties of the
3D-XY model, extended to anisotropic extreme type-II superconductors, as well
as the universal quantum critical properties in 2D. On this basis we review:
(i) the mounting evidence for 3D-XY behavior in optimally doped cuprate
superconductors and the 3D to 2D crossover in the underdoped regime; (ii) the
finite size limitations imposed by inhomogeneities; (iii) the experimental
evidence for a 2D-XY quantum critical point in the underdoped limit, where the
superconductor to insulator transition occurs; (iv) the emerging implications
and constraints for microscopic models.","{'term': u'cond-mat.supr-con', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,6,31,cond-mat.supr-con
"[u'V. Fateev', u'A. Zamolodchikov', u'Al. Zamolodchikov']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=4, tm_hour=13, tm_min=6, tm_sec=4, tm_wday=1, tm_yday=4, tm_isdst=0)","Liouville conformal field theory is considered with conformal boundary. There
is a family of conformal boundary conditions parameterized by the boundary
cosmological constant, so that observables depend on the dimensional ratios of
boundary and bulk cosmological constants. The disk geometry is considered. We
present an explicit expression for the expectation value of a bulk operator
inside the disk and for the two-point function of boundary operators. We
comment also on the properties of the degenrate boundary operators. Possible
applications and further developments are discussed. In particular, we present
exact expectation values of the boundary operators in the boundary sin-Gordon
model.","{'term': u'hep-th', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,25,46,hep-th
[u'Robert D. Cousins'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=15, tm_hour=5, tm_min=59, tm_sec=47, tm_wday=5, tm_yday=15, tm_isdst=0)","Roe and Woodroofe (RW) have suggested that certain conditional probabilities
be incorporated into the ``unified approach'' for constructing confidence
intervals, previously described by Feldman and Cousins (FC). RW illustrated
this conditioning technique using one of the two prototype problems in the FC
paper, that of Poisson processes with background. The main effect was on the
upper curve in the confidence belt. In this paper, we attempt to apply this
style of conditioning to the other prototype problem, that of Gaussian errors
with a bounded physical region. We find that the lower curve on the confidence
belt is also moved significantly, in an undesirable manner.","{'term': u'physics.data-an', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,14,3,physics.data-an
[u'Jason Fulman'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=13, tm_hour=22, tm_min=5, tm_sec=8, tm_wday=3, tm_yday=13, tm_isdst=0)","The asymptotic probability theory of conjugacy classes of the finite general
linear and unitary groups leads to a probability measure on the set of all
partitions of natural numbers. A simple method of understanding these measures
in terms of Markov chains is given and compared with work on the uniform
measure. Elementary probabilistic proofs of the Rogers-Ramanujan identities
follow. As a corollary, the main case of Bailey's lemma is interpreted as
finding eigenvectors of the transition matrix of the Markov chain. It is shown
that the viewpoint of Markov chains extends to quivers.","{'term': u'math.CO', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,16,40,math.CO
[u'T. Manke'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=17, tm_hour=7, tm_min=31, tm_sec=18, tm_wday=0, tm_yday=17, tm_isdst=0)","We present non-perturbative results for the spectrum of heavy quarkonia.
Using an anisotropic formulation of Lattice QCD we achieved an unprecedented
control over statistical and systematic errors. We also study relativistic
corrections to the leading order predictions for heavy hybrids and conventional
bound states.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,2,12,hep-ph
"[u'Paolo Piccinni', u'Izu Vaisman']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=11, tm_hour=10, tm_min=41, tm_sec=11, tm_wday=1, tm_yday=11, tm_isdst=0)","We consider manifolds equipped with a foliation $\cal F$ of codimension $4q$,
and an almost quaternionic structure $Q$ on the transversal bundle of ${\cal
F}$. After discussing conditions of projectability and integrability of $Q$, we
study the transversal twistor space $Z{\cal F}$ which, by definition, consists
of the $Q$-compatible almost complex structures. We show that $Z{\cal F}$ can
be endowed with a lifted foliation ${\hat {\cal F}}$ and two natural almost
complex structures $J_1$, $J_2$ on the transversal bundle of $\hat{\cal F}$. We
establish the conditions which ensure the projectability of $J_1$ and $J_2$,
and the integrability of $J_{1}$ ($J_{2}$ is never integrable).","{'term': u'math.DG', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,36,25,math.DG
"[u'K. S. D. Beach', u'R. J. Gooding']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=10, tm_hour=3, tm_min=56, tm_sec=16, tm_wday=0, tm_yday=10, tm_isdst=0)","We examine the role of spin twists in the formation of domain walls, often
called stripes, by focusing on the spin textures found in the cluster spin
glass phases of LaSrCuO and YCaBaCuO. To this end, we derive an analytic
expression for the spin distortions produced by a frustrating bond, both near
the core region of the bond and in the far field, and then derive an expression
for interaction energies between such bonds. We critique our analytical theory
by comparison to numerical solutions of this problem and find excellent
agreement. By looking at collections of small numbers of such bonds localized
in some region of a lattice, we demonstrate the stability of small ``clusters''
of spins, each cluster having its own orientation of its antiferromagnetic
order parameter. Then, we display a domain wall corresponding to spin twists
between clusters of locally ordered spins showing how spin twists can serve as
a mechanism for stripe formation. Since the charges are localized in this
model, we emphasize that these domain walls are produced in a situation for
which no kinetic energy is present in the problem.","{'term': u'cond-mat.str-el', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,19,31,cond-mat.str-el
[u'Guy D. Moore'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=20, tm_hour=20, tm_min=9, tm_sec=57, tm_wday=3, tm_yday=20, tm_isdst=0)","Recently Bodeker has presented an effective infrared theory for the dynamics
of Yang-Mills theory, suitable for studying the rate of baryon number violation
in the early universe. We extend his theory to include Higgs fields, and study
how much the Higgs affects the baryon number violation rate in the symmetric
phase, at the phase coexistence temperature of a first order electroweak phase
transition. The rate is about 20% smaller than in pure Yang-Mills theory. We
also analyze the sphaleron rate in the analytic crossover regime. Our treatment
relies on the ergodicity conjecture for 3-D scalar $\phi^4$ theory.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,23,42,hep-ph
"[u'R. D. Pinto', u'P. Varona', u'A. R. Volkovskii', u'A. Szucs', u'Henry D. I. Abarbanel', u'M. I. Rabinovich']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=12, tm_hour=21, tm_min=5, tm_sec=43, tm_wday=2, tm_yday=12, tm_isdst=0)","We report on experimental studies of synchronization phenomena in a pair of
analog electronic neurons (ENs). The ENs were designed to reproduce the
observed membrane voltage oscillations of isolated biological neurons from the
stomatogastric ganglion of the California spiny lobster Panulirus interruptus.
The ENs are simple analog circuits which integrate four dimensional
differential equations representing fast and slow subcellular mechanisms that
produce the characteristic regular/chaotic spiking-bursting behavior of these
cells. In this paper we study their dynamical behavior as we couple them in the
same configurations as we have done for their counterpart biological neurons.
The interconnections we use for these neural oscillators are both direct
electrical connections and excitatory and inhibitory chemical connections: each
realized by analog circuitry and suggested by biological examples. We provide
here quantitative evidence that the ENs and the biological neurons behave
similarly when coupled in the same manner. They each display well defined
bifurcations in their mutual synchronization and regularization. We report
briefly on an experiment on coupled biological neurons and four dimensional ENs
which provides further ground for testing the validity of our numerical and
electronic models of individual neural behavior. Our experiments as a whole
present interesting new examples of regularization and synchronization in
coupled nonlinear oscillators.","{'term': u'nlin.CD', 'scheme': u'http://arxiv.org/schemas/atom'}",0.2,26,30,nlin.CD
"[u'Lynne H. Orr', u'W. J. Stirling']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=14, tm_hour=21, tm_min=35, tm_sec=6, tm_wday=4, tm_yday=14, tm_isdst=0)","The production of jet pairs at large rapidity difference at hadron colliders
is potentially sensitive to BFKL physics. We present the results of a BFKL
Monte Carlo calculation of dijets at the Tevatron. The Monte Carlo incorporates
kinematic effects that are absent in analytic BFKL calculations; these effects
significantly modify the behavior of dijet cross sections.","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,3,15,hep-ph
"[u'Yong-Sheng Zhang', u'Chuan-Feng Li', u'Wan-Li Li', u'Yun-Feng Huang', u'Guang-Can Guo']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=6, tm_hour=8, tm_min=50, tm_sec=2, tm_wday=3, tm_yday=6, tm_isdst=0)","Quantum gambling --- a secure remote two-party protocol which has no
classical counterpart --- is demonstrated through optical approach. A photon is
prepared by Alice in a superposition state of two potential paths. Then one
path leads to Bob and is split into two parts. The security is confirmed by
quantum interference between Alice's path and one part of Bob's path. It is
shown that a practical quantum gambling machine can be feasible by this way.","{'term': u'quant-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.25,6,10,quant-ph
"[u'F. Buccella', u'O. Pisanti', u'L. Rosa']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=57, tm_wday=0, tm_yday=17, tm_isdst=0)","A large class of polarized and unpolarized deep inelastic data is
successfully described with Fermi-Dirac functions for the non-diffractive part
of quark parton distributions. The NLO approach used here improves the
agreement with experiment of the previous LO work. We get a broader
distribution for the strange parton s(x) than for sbar(x).","{'term': u'hep-ph', 'scheme': u'http://arxiv.org/schemas/atom'}",0.5,29,66,hep-ph
"[u'D. Kilin', u'M. Schreiber']","time.struct_time(tm_year=2000, tm_mon=1, tm_mday=5, tm_hour=15, tm_min=5, tm_sec=22, tm_wday=2, tm_yday=5, tm_isdst=0)","The character of the interaction between an impurity vibrational mode and a
heat bath leads to certain peculiarities in the relaxational dynamics of the
excited states. We derive a non-Markovian equation of motion for the reduced
density matrix of this system which is valid for initial, intermediate and
kinetic stages of the relaxation. The linear phase-sensitive character of the
interaction ensures the ultrafast disappearance of the quantum interference of
the initially superpositional state and the effect of classical squeezing of
the initially coherent state. On the other hand, the second power interaction
induces a partial conservation of the quantum interference.","{'term': u'cond-mat.stat-mech', 'scheme': u'http://arxiv.org/schemas/atom'}",1.0,10,7,cond-mat.stat-mech
[u'M. E. J. Newman'],"time.struct_time(tm_year=2000, tm_mon=1, tm_mday=10, tm_hour=20, tm_min=16, tm_sec=35, tm_wday=0, tm_yday=10, tm_isdst=0)","It is believed that almost any pair of people in the world can be connected
to one another by a short chain of intermediate acquaintances, of typical
length about six. This phenomenon, colloquially referred to as the ``six
degrees of separation,'' has been the subject of considerable recent interest
within the physics community. This paper provides a short review of the topic.","{'term': u'cond-mat.stat-mech', 'scheme': u'http://arxiv.org/schemas/atom'}",0.0,9,69,cond-mat.stat-mech
